amenities,quantity
"""ramdom shampoo""",1
"""b&o  bluetooth sound system""",1
"""le labo body soap""",1
"""le labo conditioner""",1
"""simeo refrigerator""",1
"[""exercise equipment: stationary bike",1
"""aesop  body soap""",1
"""paid pack \u2019n play/travel crib - available upon request""",1
"""miele oven""",1
"""game console: xbox 360""",1
"""65\"" hdtv with amazon prime video",1
"""paid parking lot on premises""]",1
"""folding or convertible high chair""",1
"""game console: nintendo switch",1
nintendo wii,1
nintendo wii u,1
ps5,1
"and xbox series x""]",1
"""avene body soap""",1
"[""private backyard \u2013 fully fenced""",1
"""56\"" hdtv with amazon prime video""",1
"""small but works really well! we do bigger cooks on our gas weber. stainless steel oven""]",1
"[""hdtv with netflix",1
"hulu""",1
"""140\"" hdtv""",1
"""game console: xbox series x""",1
"""100\"" tv with chromecast""",1
"""hdtv with premium cable""",1
"[""32\"" hdtv with disney+",1
"[""sonos and bluetooth speakers bluetooth sound system""",1
"""50\"" hdtv with amazon prime video",1
"""75\"" hdtv""]",1
"[""very small refrigerator""",1
"""lg sound system""",1
"""hair dryer""]",1
"[""marshall acton ii sound system with bluetooth and aux""",1
"""morocco oil conditioner""",1
"""aesop",1
"balmain body soap""",1
"""siemens stainless steel oven""",1
"""sonos  sound system""",1
"""game console: nintendo switch and ps5""",1
"""75\"" hdtv with amazon prime video",1
"[""nonau conditioner""",1
"""b&o sound system with aux""",1
"""nonau shampoo""",1
"""mile refrigerator""",1
"""mile stainless steel oven""",1
"""shared pool - available all year",1
"""60\"" hdtv""",1
"""fast wifi \u2013 317 mbps""",1
"""other gas stove""",1
"""fast wifi \u2013 230 mbps""",1
"""game console: nintendo switch and xbox one""",1
"""2 burner stainless steel gas stove""",1
"""fast wifi \u2013 211 mbps""",1
"""free carport on premises \u2013 1 space""",1
espresso machine,1
"""aesop/dove conditioner""",1
"""55\"" hdtv with apple tv",1
"""exercise equipment: elliptical",1
free weights,1
"""aesop/dove body soap""",1
"""free residential garage on premises \u2013 1 space""",1
"""german pool stainless steel oven""]",1
"""54\"" tv""",1
"""samsung stainless steel oven""",1
"""hdtv with premium cable",1
"""\u5171\u7528\u5927\u96ea\u6ac3 refrigerator""",1
"""phillips bluetooth sound bar and apple pod mini bluetooth sound system""",1
"""fridge refrigerator""]",1
"""toshiba - oven + microwave in one oven""",1
"""shared outdoor pool""",1
"""miele refrigerator""",1
"""klippsch bluetooth sound system""]",1
"[""coffee maker: drip coffee maker""",1
"""bose  bluetooth sound system""",1
"""clothing storage: walk-in closet and dresser""",1
"""bluetooth bluetooth sound system""",1
"""45\"" hdtv with netflix",1
"""wifi \u2013 32 mbps""",1
"""fast wifi \u2013 68 mbps""",1
"""43\"" hdtv with amazon prime video",1
"nespresso""]",1
"""electriq stainless steel induction stove""",1
"""43\"" hdtv with disney+",1
"""\u84b8\u70e4\u7117\u7210 stainless steel oven""",1
"""ramdom brands shampoo""",1
"""55\"" hdtv with chromecast",1
"roku""",1
"""private pool - available all year""",1
"""45\"" hdtv""",1
"""43\"" hdtv with chromecast",1
"""fast wifi \u2013 108 mbps""",1
"""bluetooth speaker sound system with bluetooth and aux""",1
"""krk bluetooth sound system""",1
"""hdtv with apple tv""",1
"[""ping pong table""",1
"olympic-sized""",1
"""ikea induction stove""",1
"""sony bluetooth sound system""",1
"""aesop shampoo""",1
"""two speakers jbl and boom bluetooth sound system""",1
"""electrolux stainless steel gas stove""",1
"""80\"" hdtv with amazon prime video",1
"""public organic  shampoo""",1
"""organic  conditioner""",1
"""random bluetooth sound system""",1
"""natural conditioner""",1
"""italian brand stainless steel gas stove""",1
"""italian brand  stainless steel oven""",1
"""ikea induction hob stainless steel stove""",1
"""head&shoulders shampoo""",1
"""jbl bluetooth sound system""",1
"""delonghi small oven stainless steel oven""",1
"""organic soap body soap""",1
"""47\"" hdtv with netflix""",1
"[""dedicated workspace""",1
"""wifi \u2013 20 mbps""",1
"""fast wifi \u2013 75 mbps""",1
"""celavi body soap""",1
"""50\"" hdtv""",1
"[""ac - split type ductless system""",1
"""frederick mal conditioner""",1
"""ms shampoo""",1
"""ms body soap""",1
"""electric stove  electric stove""",1
"""standalone high chair""",1
"""apple bluetooth sound system""",1
"""whirlpool  stainless steel oven""",1
"""46\"" hdtv with netflix""",1
"""paid parking garage on premises \u2013 100 spaces""",1
dresser,1
"""samsung double side refrigerator""",1
"""gaggenau  stainless steel stove""",1
"""siemens oven""]",1
"[""dove  shampoo""",1
"""fast wifi \u2013 66 mbps""",1
"""fast wifi \u2013 581 mbps""",1
"""bidet""]",1
"""game console: ps5""",1
"""65\"" hdtv with netflix""",1
"""40\"" hdtv with chromecast",1
"""panasonic oven/microwave combi oven""",1
"""sonos bluetooth sound system""]",1
"""bluetooth sound system""]",1
"""private outdoor pool - available seasonally",1
"""n/a shampoo""",1
"""n/a body soap""",1
"""lock on bedroom door""]",1
"""white-westinghluse refrigerator""",1
"[""mountain view""",1
"""shared outdoor pool - open specific hours",1
"""\u5927\u724c\u5b50 refrigerator""",1
"""lux shampoo""",1
"""lux conditioner""",1
"""\u5927\u724c\u5b50 stainless steel induction stove""",1
"""46\"" tv with premium cable""",1
"""wifi \u2013 24 mbps""",1
"""hdtv with fire tv""",1
"""56\"" hdtv with disney+",1
"""game console: xbox series x""]",1
"""samsung  refrigerator""",1
"""fast wifi \u2013 603 mbps""",1
"""50\"" hdtv with apple tv",1
"""shared outdoor pool - available all year""",1
"""tokyo milk conditioner""",1
"""tokyo milk shampoo""",1
"""43\"" tv with standard cable""",1
"""resort view""",1
"""fast wifi \u2013 217 mbps""",1
"""whirpool stainless steel oven""",1
"""devialet bluetooth sound system""",1
"""fast wifi \u2013 147 mbps""",1
"[""game console: nintendo switch""",1
"""100\"" hdtv with disney+",1
"""premium body soap""",1
"""fast wifi \u2013 83 mbps""",1
"""b&o bluetooth sound system""",1
"""l\u2019occitane shampoo""",1
"""l\u2019occitane conditioner""",1
"""wifi \u2013 26 mbps""",1
"""tresemme conditioner""",1
"""tresemme shampoo""",1
"""42\"" hdtv with disney+",1
"""private indoor pool - available all year",1
"""fast wifi \u2013 206 mbps""",1
"[""beach view""",1
"""43\"" hdtv with standard cable""",1
"""free parking on premises \u2013 1 space""",1
"[""hdtv with disney+""",1
"""49\"" hdtv with netflix""",1
"""40\"" hdtv with standard cable",1
"""fast wifi \u2013 219 mbps""",1
"""\u5176\u4ed6 induction stove""",1
"[""bay view""",1
"""children\u2019s books and toys for ages 0-2 years old and 5-10 years old""",1
"[""hdtv with apple tv",1
"[""43\"" hdtv with netflix",1
"""fast wifi \u2013 316 mbps""",1
"""fast wifi \u2013 116 mbps""",1
"""dr bronner's pure-castile soap body soap""",1
"""lockbox""]",1
"""gym in building""]",1
"""pool - available seasonally""",1
"[""outdoor dining area""",1
"""70\"" hdtv with amazon prime video",1
"[""32\"" hdtv with chromecast""",1
"pool toys""",1
"""hot tub - open 24 hours""",1
"""miele  refrigerator""",1
"""forget refrigerator""",1
"""by random shampoo""",1
"""other stainless steel electric stove""",1
"""forget stainless steel oven""",1
"""by random conditioner""",1
"""60\"" hdtv with disney+",1
"[""43\"" hdtv with apple tv",1
"""fast wifi \u2013 554 mbps""",1
"""39\"" hdtv with netflix""",1
"""miele stainless steel gas stove""",1
"""body shop conditioner""",1
"""body shop body soap""",1
"""rasonic stainless steel oven""",1
"""body shop shampoo""",1
"""baumatic  induction stove""",1
"[""exercise equipment""",1
open 24 hours,1
"""fast wifi \u2013 330 mbps""",1
"[""room-darkening shades""",1
"""65\"" hdtv""",1
"[""50\"" tv""",1
"""24\"" tv with standard cable",1
"[""start up supply conditioner""",1
"""meile electric stove""",1
"""start up supply shampoo""",1
"""65\"" hdtv with standard cable""",1
"""melie refrigerator""",1
"""miele stainless steel oven""",1
"""fast wifi \u2013 55 mbps""",1
"""paid parking lot on premises \u2013 1 space""]",1
"[""paid washer \u2013 in unit""",1
"""44\"" hdtv with premium cable""",1
"""fast wifi \u2013 289 mbps""",1
"""electrolux induction stove""",1
"""sony sound system with bluetooth and aux""",1
"""65\"" hdtv with apple tv",1
"[""jbl  bluetooth sound system""",1
"""misc shampoo""",1
"""rinnai  stainless steel gas stove""",1
