id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
4866210,https://www.airbnb.com/rooms/4866210,"旺角 (Mong Kong), 九龍 (Kowloon), Hong Kong",Yau Tsim Mong,22.31989,114.17053,3,$259.00,4.37,4.73,4.35,4.43,4.43
4869749,https://www.airbnb.com/rooms/4869749,,Yau Tsim Mong,22.3199,114.17054,2,$238.00,4.48,4.76,4.32,4.51,4.41
4881223,https://www.airbnb.com/rooms/4881223,,Yau Tsim Mong,22.31998,114.17056,4,$285.00,4.39,4.79,4.11,4.42,4.4
4892293,https://www.airbnb.com/rooms/4892293,,Yau Tsim Mong,22.31988,114.17053,2,$240.00,4.49,4.77,4.18,4.52,4.56
4917693,https://www.airbnb.com/rooms/4917693,,Yau Tsim Mong,22.32532,114.16433,1,$236.00,4.63,4.65,4.61,4.72,4.78
4920159,https://www.airbnb.com/rooms/4920159,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30666,114.16939,2,$608.00,4.76,4.8,4.76,4.88,4.94
4959717,https://www.airbnb.com/rooms/4959717,,Yau Tsim Mong,22.31988,114.17053,2,$236.00,4.42,4.66,4.18,4.23,4.39
5017980,https://www.airbnb.com/rooms/5017980,,Yau Tsim Mong,22.30523,114.17142,2,$466.00,4.76,4.92,4.78,4.88,4.93
5036625,https://www.airbnb.com/rooms/5036625,"Hong Kong, New Territories, Hong Kong",Sai Kung,22.29439,114.27338,2,$500.00,4.84,4.69,4.81,4.86,4.98
5042965,https://www.airbnb.com/rooms/5042965,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28822,114.14862,4,"$1,388.00",4.72,4.82,4.76,4.83,4.89
5074403,https://www.airbnb.com/rooms/5074403,"Jordan, Kowloon, Kowloon, Hong Kong",Yau Tsim Mong,22.306791305541992,114.16658782958984,2,$700.00,4.77,4.76,4.82,4.9,4.91
5080694,https://www.airbnb.com/rooms/5080694,"Wan Chai, Hong Kong",Wan Chai,22.27837,114.18089,3,"$1,299.00",4.65,4.91,4.8,4.9,4.85
5110764,https://www.airbnb.com/rooms/5110764,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28727,114.14239,1,$800.00,4.78,4.92,4.76,4.75,4.95
5158538,https://www.airbnb.com/rooms/5158538,,Yau Tsim Mong,22.30683,114.17244,3,$476.00,4.8,4.94,4.78,4.85,4.92
5163619,https://www.airbnb.com/rooms/5163619,,Yau Tsim Mong,22.31988,114.17053,6,$641.00,3.67,4.67,3.78,3.78,4.11
5180563,https://www.airbnb.com/rooms/5180563,,Yau Tsim Mong,22.3199,114.17062,5,$635.00,4.25,4.71,4.22,4.41,4.43
5207367,https://www.airbnb.com/rooms/5207367,,Sham Shui Po,22.3333,114.16546,2,$250.00,4.8,4.88,4.83,4.81,4.98
5208678,https://www.airbnb.com/rooms/5208678,,Sham Shui Po,22.33316,114.16513,2,$250.00,4.67,4.67,4.73,4.81,4.88
5221596,https://www.airbnb.com/rooms/5221596,,Yau Tsim Mong,22.3208,114.17091,2,$364.00,4.83,4.95,4.83,4.91,4.95
5223888,https://www.airbnb.com/rooms/5223888,,Yau Tsim Mong,22.31232,114.16947,3,$883.00,4.5,5.0,4.5,5.0,5.0
5242323,https://www.airbnb.com/rooms/5242323,,Wan Chai,22.28001,114.18653,2,$600.00,4.5,4.5,4.0,4.5,5.0
5243206,https://www.airbnb.com/rooms/5243206,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.3199,114.17074,5,$627.00,3.89,4.56,4.06,4.22,4.0
5255754,https://www.airbnb.com/rooms/5255754,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28444,114.15101,2,"$1,250.00",4.92,4.92,4.96,4.97,4.99
5271925,https://www.airbnb.com/rooms/5271925,,Yau Tsim Mong,22.31979,114.17078,4,$576.00,4.57,4.92,4.18,4.47,4.58
5283747,https://www.airbnb.com/rooms/5283747,,Yau Tsim Mong,22.30544,114.17267,2,$666.00,4.73,4.94,4.75,4.88,4.93
5325455,https://www.airbnb.com/rooms/5325455,,Yau Tsim Mong,22.30513,114.17138,2,$452.00,4.8,4.9,4.77,4.82,4.92
5365324,https://www.airbnb.com/rooms/5365324,,Yau Tsim Mong,22.31837,114.17157,2,$347.00,4.0,5.0,5.0,5.0,4.0
5464143,https://www.airbnb.com/rooms/5464143,"TSIM SHA TSUI, Kowloon, Hong Kong",Yau Tsim Mong,22.2973,114.17253,2,$529.00,4.57,4.74,4.43,4.53,4.77
