,room_type, bathrooms_text ,bedrooms,price
2012,Entire home/apt, 1 bath ,1,180
2013,Entire home/apt, 1.5 baths ,1,1149
2014,Shared room, 1 shared bath ,1,180
2015,Shared room, 1 shared bath ,1,180
2016,Private room, 1 bath ,1,180
2017,Shared room, 1 shared bath ,1,180
2018,Shared room, 2 shared baths ,1,180
2019,Private room, 1 bath ,1,180
2020,Private room, 1 shared bath ,1,145
2021,Shared room, 1 shared bath ,1,180
2022,Shared room, 1 shared bath ,1,180
2023,Hotel room, 1 bath ,1,177
2024,Shared room, 1 shared bath ,1,180
2025,Private room, 1 bath ,1,180
2026,Private room, 2 shared baths ,1,180
2027,Shared room, 1 shared bath ,1,160
2028,Private room, 1 bath ,1,180
2029,Private room, 1 bath ,1,180
2030,Shared room, 1 shared bath ,1,150
2031,Shared room, 1 shared bath ,1,180
2032,Hotel room, 1 private bath ,1,800
2033,Private room, Private half-bath ,1,800
2034,Shared room, 1 shared bath ,1,180
2035,Hotel room, 1 bath ,1,124
2036,Hotel room, 1 private bath ,1,496
2037,Hotel room, 1 private bath ,1,457
2038,Private room, 1 shared bath ,1,147
2039,Entire home/apt, 1 bath ,1,1739
2040,Hotel room, 1 private bath ,1,609
2041,Hotel room, 1 private bath ,1,486
2042,Private room, 1 private bath ,1,491
2043,Private room, 2 shared baths ,1,180
2044,Hotel room, 1 private bath ,1,330
2045,Hotel room, 1 private bath ,1,400
2046,Private room, 1 shared bath ,1,147
2047,Private room, 1 shared bath ,1,180
2048,Private room, 1 bath ,1,120
2049,Private room, 1 private bath ,1,235
2050,Private room, 1 private bath ,1,648
2051,Private room, 1 bath ,1,180
2052,Private room, 1 shared bath ,1,147
2053,Private room, 1 shared bath ,1,180
2054,Private room, 2 baths ,1,180
2055,Private room, 1 bath ,1,180
2056,Entire home/apt, 1 bath ,1,729
2057,Entire home/apt, 1 bath ,2,600
2058,Private room, 1 bath ,1,180
2059,Private room, 1 bath ,1,180
2060,Private room, 1 private bath ,1,823
2061,Shared room, 1 shared bath ,1,180
2062,Private room, 5 baths ,5,4800
2063,Private room, 1 shared bath ,1,180
2064,Private room, 1 shared bath ,1,180
2065,Private room, 1 shared bath ,1,180
2066,Private room, 1 bath ,1,160
2067,Private room, 1 bath ,1,180
2068,Private room, 1 bath ,1,180
2069,Private room, 2 shared baths ,1,180
2070,Entire home/apt, 1 bath ,2,1832
2071,Private room, 1 bath ,1,180
